country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 00:00:00,16.535101574332767,81.52386087947615,NH3,37,88,62
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 01:00:00,16.537627063333215,81.52041024787974,PM10,21,29,25
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 02:00:00,16.5504926864889,81.52869095027695,NH3,33,72,52
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 03:00:00,16.550498010429852,81.51607783444317,CO,18,71,44
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 04:00:00,16.543357589301582,81.52842992142659,PM10,24,34,29
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 05:00:00,16.544824957117125,81.52716941958859,NH3,33,40,36
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 06:00:00,16.543100168502235,81.52818126438157,SO2,19,58,38
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 07:00:00,16.554736771316445,81.5252810091216,CO,25,50,37
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 08:00:00,16.551221917811606,81.51800672654926,PM2.5,8,32,20
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 09:00:00,16.550438197972678,81.52537066671053,SO2,45,94,69
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 10:00:00,16.535373737430696,81.52338525354703,PM2.5,42,94,68
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 11:00:00,16.54369188574792,81.5172744011004,NH3,34,79,56
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 12:00:00,16.535402933332445,81.51480887620184,OZONE,46,72,59
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 13:00:00,16.53680727183591,81.51647472638516,PM10,12,58,35
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 14:00:00,16.54819142340808,81.51170853043166,NH3,35,66,50
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 15:00:00,16.54488492931142,81.52041183593734,PM2.5,34,92,63
India,AndhraPradesh,Bhimavaram,"Central Station, Bhimavaram",01-12-2025 16:00:00,16.550872914419358,81.51713973402494,SO2,14,37,25
